,,Jan,,Feb,,Mar,,Apr,,May,,Jun,,Jul,,Aug,,Sep,,Oct,,Nov,,Dec,
BRAND,عنوان العميل,Sales,Qty,Sales2,Qty3,Sales4,Qty5,Sales6,Qty7,Sales8,Qty9,Sales10,Qty11,Sales12,Qty13,Sales14,Qty15,Sales16,Qty17,Sales18,Qty19,Sales20,Qty21,Sales22,Qty23
Skin Clinic,المهندسين,0,0,0,0,0,0,0,0,271,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eva Care,مصر الجديدة,0,0,0,0,0,0,153,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,3
Glow,المهندسين,0,0,139,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Clinic,المهندسين,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,6,0,0,0,0,0,0
Recipe,المهندسين,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,6,0,0,0,0
Skin Clinic,المهندسين,0,0,0,0,0,0,0,0,146,3,125,6,0,0,0,0,0,0,0,0,0,0,87,3
Acetone & Rose water & Joli Eva,المهندسين,0,0,0,0,0,0,0,0,0,0,0,0,125,12,0,0,0,0,0,0,0,0,0,0
Baby,مصر الجديدة,0,0,107,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eva Care,مصر الجديدة,225,4,0,0,185,4,185,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glow,المهندسين,0,12,0,0,0,0,0,0,0,0,0,0,0,0,139,6,0,0,0,0,0,0,0,0
Hair Clinic,المهندسين,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,3,0,0,0,0,101,3
Skin Clinic,المهندسين,0,0,63,3,0,0,0,0,146,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetone & Rose water & Joli Eva,المهندسين,418,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
