BRAND,num_locations,num_forecasts,avg_forecast_sales,avg_forecast_qty,total_forecast_sales,total_forecast_qty
Skin Clinic,4,12,0.26000000000000006,0.017500000000000005,3.1200000000000006,0.21000000000000005
Eva Care,6,18,25.87666666666667,1.0311111111111113,465.78000000000003,18.560000000000002
Glow,4,12,0.15999999999999998,0.009999999999999998,1.9199999999999997,0.11999999999999998
Hair Clinic,5,15,29.986,0.734,449.79,11.01
Recipe,4,12,35.01833333333334,0.11,420.22,1.32
Acetone & Rose water & Joli Eva,5,15,184.024,12.112,2760.36,181.68
Baby,4,12,6.84,0.26249999999999996,82.08,3.1499999999999995
Sun & Sea,2,6,0.16,0.01,0.9600000000000001,0.060000000000000005
GPC,4,12,0.11999999999999998,0.19249999999999998,1.4399999999999997,2.3099999999999996
Other,2,6,0.16,0.01,0.9600000000000001,0.060000000000000005
Man Look Hair Gel,1,3,0.17,0.01,0.51,0.03
Spotless,2,6,0.165,0.01,0.9900000000000001,0.060000000000000005
Man Look Expert,1,3,0.16,0.01,0.48,0.03
One Classic,2,6,0.08,1.8949999999999998,0.48,11.37
B-white,3,9,0.16,0.01,1.44,0.09
Man Look,1,3,2448.906666666667,392.52,7346.720000000001,1177.56
